repo,url,stars,language,created_at,age_years,merged_pull_requests,total_releases,pushed_at,days_since_update,open_issues,closed_issues,closed_issues_ratio
SeleniumHQ/selenium,https://github.com/SeleniumHQ/selenium,34379,Java,2013-01-14T21:40:56Z,13.59,4160,120,2026-08-19T11:39:25Z,0,98,11132,0.9913
CMU-Perceptual-Computing-Lab/openpose,https://github.com/CMU-Perceptual-Computing-Lab/openpose,34373,C++,2017-04-24T14:06:31Z,9.32,174,15,2024-08-03T01:59:11Z,746,340,1667,0.8306
huggingface/diffusers,https://github.com/huggingface/diffusers,34344,Python,2022-05-30T16:04:02Z,4.22,6028,92,2026-08-19T12:17:03Z,0,806,4725,0.8543
xitu/gold-miner,https://github.com/xitu/gold-miner,34329,,2015-11-04T03:29:13Z,10.79,3563,0,2024-04-17T09:44:37Z,854,14,5590,0.9975
jaredpalmer/formik,https://github.com/jaredpalmer/formik,34323,TypeScript,2017-06-14T19:50:59Z,9.18,836,200,2025-11-10T17:02:06Z,281,703,1567,0.6903
nodejs/node-v0.x-archive,https://github.com/nodejs/node-v0.x-archive,34289,,2009-05-27T16:29:46Z,17.23,218,0,2024-08-15T20:32:32Z,733,0,6379,1.0
python-poetry/poetry,https://github.com/python-poetry/poetry,34287,Python,2018-02-28T15:23:47Z,8.47,2542,151,2026-08-17T22:01:20Z,1,488,5871,0.9233
TheAlgorithms/JavaScript,https://github.com/TheAlgorithms/JavaScript,34217,JavaScript,2017-07-13T06:12:33Z,9.1,798,0,2026-03-07T14:45:13Z,164,21,203,0.9062
openai/CLIP,https://github.com/openai/CLIP,34196,Jupyter Notebook,2020-12-16T11:24:42Z,5.67,30,0,2026-03-25T18:46:40Z,146,252,193,0.4337
balena-io/etcher,https://github.com/balena-io/etcher,34191,TypeScript,2015-10-27T16:53:23Z,10.81,1733,291,2026-06-02T09:25:23Z,78,640,1862,0.7442
backstage/backstage,https://github.com/backstage/backstage,34181,TypeScript,2020-01-24T22:39:49Z,6.57,21591,542,2026-08-19T12:31:53Z,0,182,7550,0.9765
swc-project/swc,https://github.com/swc-project/swc,34179,Rust,2017-12-22T11:40:14Z,8.66,6168,818,2026-08-19T05:22:30Z,0,357,3878,0.9157
ehang-io/nps,https://github.com/ehang-io/nps,34168,Go,2018-11-04T13:22:51Z,7.79,74,59,2024-05-30T03:51:08Z,811,505,699,0.5806
seaweedfs/seaweedfs,https://github.com/seaweedfs/seaweedfs,34142,Go,2014-07-14T16:41:37Z,12.1,5298,316,2026-08-19T07:46:35Z,0,686,3334,0.8294
zenorocha/clipboard.js,https://github.com/zenorocha/clipboard.js,34124,JavaScript,2015-09-18T23:04:55Z,10.92,117,42,2026-02-12T18:51:57Z,187,11,618,0.9825
lightpanda-io/browser,https://github.com/lightpanda-io/browser,34107,Zig,2023-02-07T15:19:34Z,3.53,2477,20,2026-08-19T10:34:21Z,0,74,427,0.8523
testerSunshine/12306,https://github.com/testerSunshine/12306,34093,Python,2017-05-17T12:23:40Z,9.26,31,1,2023-04-02T03:19:43Z,1235,224,466,0.6754
aristocratos/btop,https://github.com/aristocratos/btop,34088,C++,2021-05-06T18:40:21Z,5.28,454,55,2026-08-08T19:49:45Z,10,458,525,0.5341
xkcoding/spring-boot-demo,https://github.com/xkcoding/spring-boot-demo,34082,Java,2017-11-10T06:27:29Z,8.77,15,0,2024-07-24T02:02:52Z,756,101,74,0.4229
lllyasviel/ControlNet,https://github.com/lllyasviel/ControlNet,34075,Python,2023-02-01T02:43:30Z,3.55,5,0,2024-02-25T09:49:39Z,906,438,138,0.2396
zxing/zxing,https://github.com/zxing/zxing,34070,Java,2011-10-12T14:07:27Z,14.85,387,32,2026-08-17T06:52:29Z,2,0,1352,1.0
agentscope-ai/QwenPaw,https://github.com/agentscope-ai/QwenPaw,34063,Python,2026-02-24T03:42:56Z,0.48,2212,107,2026-08-19T12:11:23Z,0,596,2948,0.8318
qdrant/qdrant,https://github.com/qdrant/qdrant,34062,Rust,2020-05-30T21:37:01Z,6.22,6653,116,2026-08-19T13:02:40Z,0,490,1470,0.75
OpenBMB/ChatDev,https://github.com/OpenBMB/ChatDev,34045,Python,2023-08-28T02:18:13Z,2.98,161,12,2026-07-24T08:01:27Z,26,46,287,0.8619
fish-shell/fish-shell,https://github.com/fish-shell/fish-shell,34034,Rust,2012-05-10T03:00:55Z,14.28,2212,67,2026-08-17T02:22:22Z,2,515,7668,0.9371
chenfei-wu/TaskMatrix,https://github.com/chenfei-wu/TaskMatrix,34010,Python,2023-03-02T09:04:28Z,3.47,21,0,2024-01-06T02:41:20Z,956,228,136,0.3736
MonitorControl/MonitorControl,https://github.com/MonitorControl/MonitorControl,33994,Swift,2017-09-16T21:13:40Z,8.92,223,26,2026-08-11T12:43:28Z,8,12,1014,0.9883
atlassian/react-beautiful-dnd,https://github.com/atlassian/react-beautiful-dnd,33950,JavaScript,2017-08-09T03:37:15Z,9.03,531,68,2025-08-18T04:35:31Z,366,571,1047,0.6471
NginxProxyManager/nginx-proxy-manager,https://github.com/NginxProxyManager/nginx-proxy-manager,33907,TypeScript,2017-12-20T23:01:16Z,8.66,740,88,2026-08-12T03:02:03Z,7,752,2567,0.7734
pcottle/learnGitBranching,https://github.com/pcottle/learnGitBranching,33900,JavaScript,2012-08-13T22:36:09Z,14.01,693,0,2026-08-19T02:27:50Z,0,57,493,0.8964
K-Dense-AI/scientific-agent-skills,https://github.com/K-Dense-AI/scientific-agent-skills,33889,Python,2025-10-19T20:54:15Z,0.83,77,101,2026-08-18T22:58:51Z,0,2,75,0.974
lib-pku/libpku,https://github.com/lib-pku/libpku,33868,TeX,2018-11-22T13:33:06Z,7.74,22,0,2022-01-05T04:09:27Z,1687,11,32,0.7442
carbon-language/carbon-lang,https://github.com/carbon-language/carbon-lang,33857,C++,2020-04-27T21:45:16Z,6.31,5669,765,2026-08-19T02:48:22Z,0,208,660,0.7604
explosion/spaCy,https://github.com/explosion/spaCy,33831,Python,2014-07-03T15:15:40Z,12.13,3603,137,2026-08-07T11:44:36Z,12,176,5594,0.9695
TabbyML/tabby,https://github.com/TabbyML/tabby,33828,Rust,2023-03-16T09:18:01Z,3.43,3002,249,2026-06-30T20:38:02Z,49,258,756,0.7456
halfrost/LeetCode-Go,https://github.com/halfrost/LeetCode-Go,33793,Go,2017-07-18T00:06:14Z,9.09,182,5,2026-08-05T15:34:29Z,13,0,82,1.0
k3s-io/k3s,https://github.com/k3s-io/k3s,33763,Go,2018-05-31T01:37:46Z,8.22,4865,1000,2026-08-18T18:26:58Z,0,52,7638,0.9932
SerenityOS/serenity,https://github.com/SerenityOS/serenity,33762,C++,2018-12-02T19:28:41Z,7.71,20156,0,2026-08-19T00:38:15Z,0,726,3589,0.8317
mli/paper-reading,https://github.com/mli/paper-reading,33708,,2021-10-22T06:34:51Z,4.82,15,0,2025-03-22T03:49:35Z,515,0,0,
Pythagora-io/gpt-pilot,https://github.com/Pythagora-io/gpt-pilot,33695,Python,2023-08-16T11:56:07Z,3.01,397,0,2026-06-18T18:38:25Z,61,243,316,0.5653
anthropics/claude-plugins-official,https://github.com/anthropics/claude-plugins-official,33691,Python,2025-11-20T18:36:20Z,0.74,3208,0,2026-08-19T07:37:03Z,0,902,173,0.1609
alibaba/easyexcel,https://github.com/alibaba/easyexcel,33671,Java,2018-02-06T03:14:08Z,8.53,190,14,2024-10-29T06:07:07Z,659,489,3128,0.8648
anoma/anoma,https://github.com/anoma/anoma,33660,Elixir,2021-02-02T10:00:16Z,5.54,898,12,2026-06-15T14:56:43Z,64,90,630,0.875
valinet/ExplorerPatcher,https://github.com/valinet/ExplorerPatcher,33658,C,2021-08-09T14:17:24Z,5.02,24,300,2026-07-06T12:44:31Z,44,354,2450,0.8738
Blankj/AndroidUtilCode,https://github.com/Blankj/AndroidUtilCode,33635,Java,2016-07-30T18:18:32Z,10.05,88,117,2024-08-15T10:38:10Z,734,312,1285,0.8046
bayandin/awesome-awesomeness,https://github.com/bayandin/awesome-awesomeness,33609,Ruby,2014-07-08T05:44:19Z,12.11,197,0,2024-06-02T22:46:41Z,807,19,52,0.7324
binwiederhier/ntfy,https://github.com/binwiederhier/ntfy,33605,Go,2021-10-23T19:25:32Z,4.82,421,108,2026-08-18T21:43:12Z,0,324,950,0.7457
shadowsocks/shadowsocks,https://github.com/shadowsocks/shadowsocks,33562,Python,2012-04-20T13:10:49Z,14.33,70,2,2024-04-01T09:07:32Z,870,0,0,
apache/kafka,https://github.com/apache/kafka,33549,Java,2011-08-15T18:06:16Z,15.01,13856,0,2026-08-19T11:22:37Z,0,0,0,
tinygrad/tinygrad,https://github.com/tinygrad/tinygrad,33466,Python,2020-10-18T16:23:12Z,5.83,12343,15,2026-08-19T13:01:40Z,0,113,1069,0.9044
XX-net/XX-Net,https://github.com/XX-net/XX-Net,33451,Python,2015-01-15T09:35:51Z,11.59,364,390,2026-06-21T23:53:56Z,58,7922,5445,0.4073
microsoft/WSL,https://github.com/microsoft/WSL,33439,C++,2016-04-06T17:32:56Z,10.37,1429,108,2026-08-19T10:28:16Z,0,911,11525,0.9267
